05/17/2017 16:52:05, INFO  , searchPStepNumber : 25.0
05/17/2017 16:52:05, INFO  , VerifyText
05/17/2017 16:52:05, INFO  , Task VERIFY_TEXT - Started
05/17/2017 16:52:08, INFO  , Task VERIFY_TEXT - Ended
05/17/2017 16:52:08, INFO  , searchPStepName : Sleep
05/17/2017 16:52:08, INFO  , searchPStepNumber : 26.0
05/17/2017 16:52:08, INFO  , Sleep
05/17/2017 16:52:08, INFO  , Task SLEEP - Started
05/17/2017 16:52:09, INFO  , Task SLEEP - Ended
05/17/2017 16:52:10, INFO  , Testcase completed
